userid,username,created,password,email,pseudo,login,changed,poll,group_bit,spec_message,grad_year,edit_cols,edit_rows,webview,notes_asc,user_type,show_images,guest_password,is_admin
100,youngian,2004-08-23 09:59:29 UTC,ab8EpSDFI7IO.,youngian@grinnell.edu,yet again,2008-09-29 14:06:36 UTC,"",0,"","","",100,40,0,0,"",false,,true
1,plans,2002-09-09 19:48:25 UTC,abGkwsBKKg0WQ,plans@grinnell.edu,The Official Plan of GrinnellPlans,2010-04-07 17:07:35 UTC,"",0,"","","",90,20,0,,"",false,,true
110,krohn,2007-12-23 17:16:34 UTC,ab/NVhoJXkkIY,krohn@foo.bar,"",2007-12-26 20:33:24 UTC,"",0,"","","",70,14,"","",staff,false,"",false
111,teachems,2007-12-23 17:23:09 UTC,abTYtq5PvOBk6,teachems@foo.bar,"",2007-12-26 20:32:06 UTC,"",0,"","","",70,14,"","",faculty,false,"",false
101,swap,2007-12-23 18:01:13 UTC,abrjvH8nAXK4E,swap@foo.bar,"",,"",0,"","","",70,14,"","",group,false,"",false
102,cow,2007-12-23 18:03:21 UTC,ab.fV1cS1PgOc,cow@foo.bar,"",2007-12-27 15:28:07 UTC,"",0,"","","",70,14,"","",group,false,"",false
103,goodj,2007-12-23 18:06:27 UTC,abZyb6l/6pg4A,goodj@foo.bar,"",2007-12-27 15:40:30 UTC,"",0,"","","",70,14,"","",rlc,false,"",false
104,moosejaw,2007-12-23 18:09:32 UTC,ab8K5Fx42NpzU,plans@foo.bar,"",2007-12-27 15:43:21 UTC,"",0,"","","",70,14,"","",city,false,"",false
105,johnso58,2007-12-23 18:16:01 UTC,aben8B8WvfeW6,johnso58@foo.bar,"",2007-12-27 15:49:04 UTC,"",0,"","",2001,70,14,1,"",student,false,"",false
106,remarjen,2007-12-23 18:17:09 UTC,abu28OdKUlAps,remarjen@foo.bar,"",2007-12-26 20:24:02 UTC,"",0,"","",2008,70,14,"","",student,false,"",false
107,mckitter,2007-12-23 18:17:40 UTC,ab5OmsfD8HjDQ,mckitter@foo.bar,"",2007-12-26 20:22:36 UTC,"",0,"","",2008,70,14,"","",student,false,"",false
108,tylerjac,2007-12-23 18:18:08 UTC,abBVvbyJnTL7w,tylerjac@foo.bar,"",2007-12-26 20:28:02 UTC,"",0,"","",2011,70,14,"","",student,false,"",false
109,vanvalke,2007-12-23 18:20:13 UTC,abeYX1p9jn4Tc,vanvalke@foo.bar,"",2007-12-27 15:48:20 UTC,"",0,"","",2009,70,14,"","",student,false,vanvalke,false
112,wrightjo,2007-12-23 18:20:49 UTC,abR1mC87ZiV2U,wrightjo@foo.bar,"",2007-12-23 19:01:59 UTC,"",0,"","",2010,70,14,"","",student,false,"",false
